Combined Models,Individual Model 1,Individual Model 2,Combined Accuracy,Best Individual Accuracy,Difference,Std Dev (Combined)
QuadraticDiscriminantAnalysis + KNeighborsClassifier,QuadraticDiscriminantAnalysis,KNeighborsClassifier,0.9224779455603876,0.914504332166933,0.007973613393454593,0.0028349901564387204
QuadraticDiscriminantAnalysis + BaggingClassifier,QuadraticDiscriminantAnalysis,BaggingClassifier,0.9248554069578514,0.9283029193442914,-0.0034475123864400326,0.0033847888549674247
QuadraticDiscriminantAnalysis + AdaBoostClassifier,QuadraticDiscriminantAnalysis,AdaBoostClassifier,0.9275879850080472,0.9301835563063301,-0.002595571298282917,0.003303656049676686
RegularizedQDA + LinearSVC,RegularizedQDA,LinearSVC,0.9413800104444279,0.9416045440940944,-0.00022453364966656952,0.005599419929610259
RegularizedQDA + SVC_rbf,RegularizedQDA,SVC_rbf,0.9456126949331999,0.9453291087902471,0.0002835861429527631,0.002059747209349954
RegularizedQDA + HingeSGDClassifier,RegularizedQDA,HingeSGDClassifier,0.9241313525530593,0.9378284691687397,-0.013697116615680405,0.008425887488777532
RegularizedQDA + LogLossSGDClassifier,RegularizedQDA,LogLossSGDClassifier,0.9303888574367484,0.9286672220731063,0.0017216353636421156,0.007863410026419307
RegularizedQDA + PolynomialSGDClassifier,RegularizedQDA,PolynomialSGDClassifier,0.9082639928551932,0.9049434579861103,0.003320534869082903,0.007236933515119002
RegularizedQDA + GaussianNB,RegularizedQDA,GaussianNB,0.9052404360399702,0.9049434579861103,0.0002969780538598643,0.004733120343179394
RegularizedQDA + DecisionTreeClassifier,RegularizedQDA,DecisionTreeClassifier,0.9050170190800972,0.9049434579861103,7.356109398692912e-05,0.006606358585512337
RegularizedQDA + FullDecisionTreeClassifier,RegularizedQDA,FullDecisionTreeClassifier,0.9148045745450297,0.9049434579861103,0.009861116558919414,0.007251340191699339
RegularizedQDA + RandomForestClassifier,RegularizedQDA,RandomForestClassifier,0.9332803657282417,0.9343736305860911,-0.0010932648578494408,0.0029726117031036122
RegularizedQDA + KNeighborsClassifier,RegularizedQDA,KNeighborsClassifier,0.9194710782756393,0.906849913877217,0.012621164398422313,0.002874548041867963
RegularizedQDA + BaggingClassifier,RegularizedQDA,BaggingClassifier,0.9223950531851498,0.9283029193442914,-0.005907866159141628,0.004111734146117085
RegularizedQDA + AdaBoostClassifier,RegularizedQDA,AdaBoostClassifier,0.9265745637683456,0.9301835563063301,-0.0036089925379845234,0.0027384849400989716
